Subsequence,Frequency,Rank
cc,997,1
O),640,2
CC,635,3
C(,538,4
[C,516,5
[C@,516,6
C@,516,7
ccc,510,8
H],469,9
(C,469,10
=O,466,11
=O),443,12
@H,437,13
@H],437,14
(=,415,15
)c,415,16
c1,410,17
(=O,407,18
(=O),407,19
c(,383,20
C),327,21
C(=,319,22
C(=O,311,23
C(=O),311,24
)C,301,25
c2,260,26
[C@@,258,27
C@@,258,28
@@,258,29
(C),252,30
[C@@H,225,31
[C@@H],225,32
C@@H,225,33
C@@H],225,34
@@H,225,35
@@H],225,36
cccc,221,37
[C@H,212,38
[C@H],212,39
C@H,212,40
C@H],212,41
1c,212,42
](,203,43
C[,203,44
cc(,199,45
(O,198,46
C[C,197,47
C[C@,197,48
c1c,184,49
CCC,184,50
@H](,180,51
H](,180,52
1cc,163,53
)[,161,54
c1cc,160,55
]1,153,56
=C,153,57
C(C,149,58
2c,147,59
OC,145,60
1C,143,61
O)c,141,62
)N,141,63
c2c,140,64
c3,137,65
)[C,134,66
)[C@,134,67
(O),133,68
ccc(,133,69
(N,131,70
)O,130,71
c1ccc,125,72
1ccc,125,73
)cc,124,74
nc,122,75
H]1,122,76
O)C,120,77
CN,120,78
@H]1,118,79
)c1,118,80
CO,113,81
O)O,112,82
NC,111,83
)(,110,84
C(C),104,85
cc1,102,86
=O)O,102,87
(=O)O,101,88
