Drug id,smiles
DB00131,Nc1ncnc2c1ncn2[C@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
DB00140,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
DB00148,CN(CC(=O)[O-])C(=N)[NH3+]
DB00159,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
DB00182,C[C@@H](N)Cc1ccccc1
DB00191,CC(C)(N)Cc1ccccc1
DB00193,COc1cccc([C@]2(O)CCCC[C@H]2CN(C)C)c1
DB00201,Cn1c(=O)c2c(ncn2C)n(C)c1=O
DB00202,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
DB00204,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
DB00205,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
DB00210,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
DB00228,FC(F)OC(F)(F)[C@@H](F)Cl
DB00242,Nc1nc(Cl)nc2c1ncn2[C@@H]1C[C@@H](O)[C@@H](CO)O1
DB00252,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
DB00255,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
DB00270,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@H]1c1cccc2nonc12
DB00273,CC1(C)O[C@H]2[C@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]23)O1
DB00274,CO[C@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21
DB00277,Cn1c(=O)c2[nH]cnc2n(C)c1=O
DB00279,[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]
DB00284,C[C@H]1O[C@@H](O[C@@H]2[C@H](O)[C@@H](O)[C@@H](O[C@@H]([C@H](O)[C@H](O)C=O)[C@@H](O)CO)O[C@H]2CO)[C@@H](O)[C@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@@H]1O
DB00303,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12
DB00304,C#C[C@]1(O)CC[C@H]2[C@H]3CCC4=CCCC[C@@H]4[C@@H]3C(=C)C[C@@]21CC
DB00307,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
DB00308,CCCCCCCN(CC)CCC[C@H](O)c1ccc(NS(C)(=O)=O)cc1
DB00311,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
DB00319,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@@H]23)c2ccccc2)C(=O)C1=O
DB00333,CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1
DB00360,C[C@H](O)[C@@H](O)[C@H]1CNc2[nH]c(N)nc(=O)c2N1
DB00367,C#C[C@]1(O)CC[C@H]2[C@H]3CCC4=CC(=O)CC[C@H]4[C@H]3CC[C@]21CC
DB00368,NC[C@H](O)c1ccc(O)c(O)c1
DB00373,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
DB00393,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@H]1c1cccc([N+](=O)[O-])c1
DB00396,CC(=O)[C@@H]1CC[C@H]2[C@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@]12C
DB00398,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
DB00399,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
DB00401,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)[C@@H]1c1ccccc1[N+](=O)[O-]
DB00415,CC1(C)S[C@@H]2[C@@H](NC(=O)[C@@H](N)c3ccccc3)C(=O)N2[C@@H]1C(=O)O
DB00430,Cc1cc(=O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@@H]23)c2ccc(O)cc2)c[nH]1
DB00449,CNC[C@H](O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1
DB00451,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
DB00456,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@@H]2SC1
DB00459,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
DB00470,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@H]1CCC(C)=C[C@H]21
DB00480,Nc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O
DB00481,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
DB00485,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
DB00486,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(=O)C[C@H]21
DB00489,CC(C)NC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1
DB00493,CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1
DB00507,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1
