Drug ID,PDB ID
DB05383,1NSI
DB08814,1NSI
DB08814,1MDI
DB09092,1DJL
DB09092,3ERY
DB09092,1U8F
DB09092,2DFD
DB00619,1AB2
DB00619,1GQ5
DB00619,1PKG
DB00619,1K1F
DB01254,1AB2
DB01254,1GQ5
DB01254,1PKG
DB01254,1A07
DB01254,1A0N
DB01254,2HDA
DB01254,1MQB
DB01254,1BHF
DB01254,1K1F
DB06616,1AB2
DB06616,1A07
DB06616,1S9J
DB06616,1AD5
DB06616,2J51
DB06616,1W1F
DB06616,2UX0
DB06616,1S9I
DB06616,2CU1
DB06616,2LUL
DB08896,1AB2
DB08896,4BSJ
DB08896,1FLT
DB08896,1C1Y
DB08896,1GQ5
DB08896,1VR2
DB08896,1PKG
DB08896,1UWH
DB08896,1DJS
DB08896,1MQB
DB08896,1HE7
DB08896,1AGW
DB08896,1FVR
DB08896,3GC8
DB08896,2WUH
DB08901,1AB2
DB08901,1K1F
DB01239,4IB4
DB01239,3RZE
DB01239,3PBL
DB00398,4BSJ
DB00398,1FLT
DB00398,1C1Y
DB00398,1RJB
DB00398,1GQ5
DB00398,1VR2
DB00398,1PKG
DB00398,1UWH
DB00398,1AGW
DB01268,4BSJ
DB01268,1FLT
DB01268,1RJB
DB01268,1GQ5
DB01268,1VR2
DB01268,1PKG
DB01268,2I0V
DB06589,4BSJ
DB06589,1FLT
DB06589,1GQ5
DB06589,1VR2
DB06589,1PKG
DB06626,4BSJ
DB06626,1FLT
DB06626,1VR2
DB09078,4BSJ
DB09078,1FLT
DB09078,1GQ5
DB09078,1VR2
DB09078,1PKG
DB09078,1DJS
DB09078,1AGW
DB09078,1RY7
DB09079,4BSJ
DB09079,1FLT
DB09079,1GQ5
DB09079,1VR2
DB09079,1DJS
DB09079,1AGW
DB09079,1RY7
DB11679,4BSJ
DB11679,1FLT
DB11679,1VR2
DB11800,4BSJ
DB11800,1FLT
DB11800,1GQ5
DB11800,1VR2
DB11800,1PKG
DB08912,1C1Y
DB08912,1UWH
DB11718,1C1Y
DB11718,1UWH
DB11718,2W96
DB11718,1JNK
DB11718,3E7O
DB11718,1UKH
DB11718,3S95
DB11718,1X6A
DB11718,3ALN
DB00767,2CSA
DB00767,3RZE
DB09089,2CSA
DB09089,3BXK
DB09089,1T0J
DB09089,2K44
DB09089,2VAY
DB09089,1VYV
DB09089,3LV3
DB09089,1JO6
DB09167,2CSA
DB09167,1HLL
DB09167,3RZE
DB12278,2CSA
DB12278,1T0J
DB12598,1A2C
DB12598,1C5M
DB12598,1SPJ
DB12598,1FXY
DB12598,4BDW
DB12831,1A2C
DB12831,1B2I
DB12831,2ANW
DB00786,1GKC
DB00786,1CK7
DB00786,1AYK
DB00786,1EUB
DB00786,1B3D
DB00786,1A85
DB00786,1JIZ
DB00786,1RM8
DB00786,1Q3A
DB00786,1MMP
DB00786,1BQQ
DB00786,2JSD
DB00470,1LVQ
DB00470,2KI9
DB00486,1LVQ
DB00486,2KI9
DB11755,1LVQ
DB11755,3J9P
DB11755,2F37
DB01221,4D1N
DB01221,2MAW
DB09118,1I0Z
DB09118,1I10
DB09118,4COF
DB01393,1I7G
DB01393,1FM6
DB01393,1GWX
DB03756,1I7G
DB03756,1H9U
DB03756,1FM6
DB03756,1BY4
DB03756,2GL8
DB08915,1I7G
DB08915,1FM6
DB00210,1H9U
DB00210,1EXA
DB00210,1HRA
DB00210,1BY4
DB00210,2GL8
DB00210,1A02
DB00210,1FYW
DB00307,1H9U
DB00307,1BY4
DB00307,2GL8
DB00459,1H9U
DB00459,1EXA
DB00459,1HRA
DB00459,1BY4
DB00459,1DKF
DB00459,2GL8
DB00523,1H9U
DB00523,1EXA
DB00523,1HRA
DB00523,1BY4
DB00523,1DKF
DB00523,2GL8
DB00755,1H9U
DB00755,1EXA
DB00755,1HRA
DB00755,1DKF
DB00755,2GL8
DB00799,1H9U
DB00799,1EXA
DB00799,1HRA
DB00799,1DKF
DB00926,1H9U
DB00926,1EXA
DB00926,1HRA
DB00926,1BY4
DB00926,1DKF
DB00926,2GL8
DB00148,3B6R
