Subsequence,Frequency,Rank
cc,997,1
O),640,2
CC,635,3
C(,538,4
[C,516,5
[C@,516,6
C@,516,7
ccc,510,8
H],469,9
(C,469,10
=O,466,11
=O),443,12
@H,437,13
@H],437,14
(=,415,15
)c,415,16
c1,410,17
(=O,407,18
(=O),407,19
c(,383,20
C),327,21
C(=,319,22
C(=O,311,23
C(=O),311,24
)C,301,25
c2,260,26
[C@@,258,27
C@@,258,28
@@,258,29
(C),252,30
[C@@H,225,31
[C@@H],225,32
C@@H,225,33
C@@H],225,34
@@H,225,35
@@H],225,36
cccc,221,37
[C@H,212,38
[C@H],212,39
C@H,212,40
C@H],212,41
1c,212,42
](,203,43
C[,203,44
cc(,199,45
(O,198,46
C[C,197,47
C[C@,197,48
c1c,184,49
CCC,184,50
@H](,180,51
H](,180,52
1cc,163,53
)[,161,54
c1cc,160,55
]1,153,56
=C,153,57
C(C,149,58
2c,147,59
OC,145,60
1C,143,61
O)c,141,62
)N,141,63
c2c,140,64
c3,137,65
)[C,134,66
)[C@,134,67
(O),133,68
ccc(,133,69
(N,131,70
)O,130,71
c1ccc,125,72
1ccc,125,73
)cc,124,74
nc,122,75
H]1,122,76
O)C,120,77
CN,120,78
@H]1,118,79
)c1,118,80
CO,113,81
O)O,112,82
NC,111,83
)(,110,84
C(C),104,85
cc1,102,86
=O)O,102,87
(=O)O,101,88
cc2,97,89
C)C,97,90
O)[,96,91
C(=O)O,96,92
C1,96,93
O)N,96,94
[C@@H](,95,95
C@@H](,95,96
@@H](,95,97
]2,94,98
CC(,93,99
ccccc,93,100
C[C@@,91,101
=O)N,91,102
2cc,90,103
c(C,89,104
(=O)N,89,105
c(O,87,106
c2cc,86,107
)CC,86,108
2),86,109
[C@H](,85,110
C@H](,85,111
CC[,85,112
C(=O)N,85,113
2C,84,114
CC[C,82,115
CC[C@,82,116
(C(,82,117
3c,79,118
@],79,119
F),78,120
=C(,77,121
](O,76,122
Cc,76,123
CCCC,76,124
CCN,76,125
@H](O,75,126
H](O,75,127
C[C@H,75,128
C[C@H],75,129
H]2,75,130
@H]2,74,131
(C)C,74,132
3),73,133
O)[C,72,134
O)[C@,72,135
c3c,72,136
=O)c,72,137
)[C@@,70,138
N(,70,139
)=,70,140
NC(,70,141
)c(,70,142
](C,69,143
=O)C,69,144
)[C@@H,67,145
)[C@@H],67,146
N),67,147
C[C@@H,67,148
C[C@@H],67,149
2ccc,67,150
](O),66,151
@H](O),65,152
H](O),65,153
c2ccc,65,154
@H]1C,64,155
H]1C,64,156
]1C,64,157
cn,63,158
[C@H]1,63,159
C@H]1,63,160
c(N,63,161
(C(=,63,162
(C(=O,63,163
(C(=O),63,164
]3,63,165
)c1c,63,166
N(C,62,167
)C(,62,168
C)c,62,169
@H](C,61,170
H](C,61,171
(F,61,172
(F),61,173
c1cccc,60,174
1cccc,60,175
(=O)c,59,176
1CC,59,177
)[C@H,58,178
)[C@H],58,179
CC(=,58,180
CC(=O,58,181
CC(=O),58,182
cc(O,58,183
C=,57,184
ccc2,57,185
(N),56,186
OC(,56,187
3cc,56,188
[C@@H]1,55,189
C@@H]1,55,190
@@H]1,55,191
(=O)C,55,192
c3cc,55,193
Nc,54,194
/C,54,195
C(=O)C,54,196
Cl,54,197
)c1cc,54,198
O)c1,54,199
=O)[,53,200
C=C,53,201
c1ccc(,53,202
1ccc(,53,203
)c2,52,204
CN(,52,205
@H]3,52,206
H]3,52,207
3C,52,208
2[,51,209
(=O)[,51,210
NC(=,51,211
NC(=O,51,212
NC(=O),51,213
Cc1,50,214
(O)c,50,215
ccc1,49,216
(OC,49,217
)n,48,218
C)(,48,219
Oc,48,220
1),48,221
CN(C,47,222
(C)(,47,223
Cl),47,224
l),47,225
cc3,47,226
c2),47,227
=C(C,47,228
3ccc,47,229
[C@],46,230
C@],46,231
(c,46,232
c3ccc,46,233
C/,45,234
2)c,45,235
c4,45,236
O[,44,237
O[C,44,238
O[C@,44,239
COC,44,240
cc(C,44,241
N2,44,242
2[C,43,243
2[C@,43,244
)(C,43,245
OCC,43,246
CC1,43,247
[C@H](O,42,248
C@H](O,42,249
12,42,250
[C@@H]2,42,251
C@@H]2,42,252
@@H]2,42,253
(CC,41,254
)C(=,41,255
ccccc1,41,256
cccc1,41,257
)cc1,41,258
)c1ccc,41,259
CCN(,41,260
c(OC,41,261
Cc1c,40,262
)C(=O,40,263
)C(=O),40,264
O)c1c,40,265
O)[C@@,39,266
[C@H](O),39,267
C@H](O),39,268
(C(=O)O,39,269
C)[,39,270
O)O),38,271
)O),38,272
O)[C@@H,38,273
O)[C@@H],38,274
c1C,38,275
c1ccccc,38,276
c1ccccc1,38,277
1ccccc,38,278
1ccccc1,38,279
Oc1,38,280
1=,38,281
CCO,38,282
cccc2,38,283
ccc(O,38,284
C)[C,38,285
C)[C@,38,286
CC[C@@,38,287
(O)C,37,288
C/C,37,289
(C)(C,37,290
C)(C,37,291
OC(=,37,292
OC(=O,37,293
